"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"193","ARES.PRA",NA,NA,NA,NA,3581,NA,-40.33,NA,NA,NA,3581
"194","ARGD",NA,NA,NA,NA,786,NA,-96.19,NA,NA,NA,786
"195","ARGO",34.68,"M",33.5,"M",421756,NA,0.71,1.26,34680000,33500000,421756
"196","ARGO.PRA",6,"M",NA,NA,6413,NA,-43.44,NA,6e+06,NA,6413
"197","ARI",140.3,"M",135.59,"M",2.49,"M",-6.32,1.83,140300000,135590000,2490000
"198","ARL",NA,NA,800767,NA,56284,NA,8.68,7.03,NA,800767,56284
"199","ARLO",79.04,"M",76.3,"M",6.21,"M",25.04,8.14,79040000,76300000,6210000
"200","ARMK",253.93,"M",252.73,"M",10.3,"M",-5.27,4.08,253930000,252730000,10300000
"201","ARNC",109.15,"M",NA,NA,3.2,"M",3.47,NA,109150000,NA,3200000
"202","AROC",152.93,"M",128.28,"M",4.72,"M",7.34,3.68,152930000,128280000,4720000
"203","ARR",64.73,"M",63.69,"M",5.13,"M",8.02,8.05,64730000,63690000,5130000
"204","ARR.PRC",5.3,"M",NA,NA,1088,NA,-57.18,NA,5300000,NA,1088
"205","ARW",77.63,"M",75.18,"M",1.14,"M",8.88,1.51,77630000,75180000,1140000
"206","ASAN",79.71,"M",60.07,"M",1.77,"M",2.92,2.95,79710000,60070000,1770000
"207","ASAQ",25,"M",NA,NA,52612,NA,-87.31,NA,2.5e+07,NA,52612
"208","ASB",153.54,"M",150.19,"M",2.26,"M",-6.29,1.5,153540000,150190000,2260000
"209","ASB.PRC",NA,NA,NA,NA,6577,NA,10176.56,NA,NA,NA,6577
"210","ASB.PRD",3.98,"M",NA,NA,269,NA,26800,NA,3980000,NA,269
"211","ASB.PRE",NA,NA,NA,NA,1041,NA,-14.6,NA,NA,NA,1041
"212","ASB.PRF",4,"M",NA,NA,28404,NA,-34.48,NA,4e+06,NA,28404
"213","ASC",33.29,"M",33.22,"M",819299,NA,-11.11,2.47,33290000,33220000,819299
"214","ASGN",52.9,"M",51.1,"M",795280,NA,-0.04,1.56,52900000,51100000,795280
"215","ASH",60.58,"M",60.23,"M",2.55,"M",24.44,4.23,60580000,60230000,2550000
"216","ASIX",28.03,"M",27.03,"M",479956,NA,5.26,1.78,28030000,27030000,479956
"217","ASPL",23.97,"M",NA,NA,56687,NA,164.56,NA,23970000,NA,56687
"218","ASPN",26.85,"M",25.28,"M",539392,NA,8.18,2.13,26850000,25280000,539392
"219","ASR",NA,NA,27.71,"M",163709,NA,-1.56,0.59,NA,27710000,163709
"220","ASX",2.18,"B",NA,NA,1.87,"M",84.93,NA,2.18e+09,NA,1870000
"221","AT",93,"M",85.49,"M",824770,NA,2.72,0.96,9.3e+07,85490000,824770
"222","ATAC",27.5,"M",NA,NA,141914,NA,-90.33,NA,27500000,NA,141914
"223","ATCO",246.03,"M",161.45,"M",4.46,"M",8.17,2.77,246030000,161450000,4460000
"224","ATCO.PRD",NA,NA,NA,NA,4934,NA,-18.54,NA,NA,NA,4934
"225","ATCO.PRE",5.42,"M",NA,NA,1330,NA,13.48,NA,5420000,NA,1330
"226","ATCO.PRG",NA,NA,NA,NA,6609,NA,-4.36,NA,NA,NA,6609
"227","ATCO.PRH",NA,NA,NA,NA,8256,NA,39.74,NA,NA,NA,8256
"228","ATCO.PRI",NA,NA,NA,NA,12318,NA,1.26,NA,NA,NA,12318
"229","ATEN",76.71,"M",63.08,"M",2.15,"M",12.28,3.4,76710000,63080000,2150000
"230","ATGE",52.09,"M",50.89,"M",2.21,"M",-1.18,4.35,52090000,50890000,2210000
"231","ATH",191.46,"M",130.32,"M",3.16,"M",-3.24,2.43,191460000,130320000,3160000
"232","ATH.PRA",34.52,"M",NA,NA,97642,NA,7.82,NA,34520000,NA,97642
"233","ATH.PRB",NA,NA,NA,NA,4847,NA,-41.99,NA,NA,NA,4847
"234","ATH.PRC",24,"M",NA,NA,6353,NA,-69.36,NA,2.4e+07,NA,6353
"235","ATH.PRD",23,"M",NA,NA,200372,NA,1848.95,NA,2.3e+07,NA,200372
"236","ATHM",119.08,"M",NA,NA,4.48,"M",6.78,NA,119080000,NA,4480000
"237","ATI",126.82,"M",124.9,"M",11.74,"M",0.97,9.4,126820000,124900000,11740000
"238","ATKR",47.56,"M",47.06,"M",597056,NA,-5.51,1.27,47560000,47060000,597056
"239","ATO",126.04,"M",124.99,"M",5.06,"M",-2.8,4.05,126040000,124990000,5060000
"240","ATR",64.72,"M",64.35,"M",409412,NA,-5.23,0.64,64720000,64350000,409412
"241","ATTO",15,"M",14.82,"M",3293,NA,-60.24,0.02,1.5e+07,14820000,3293
"242","ATUS",290.15,"M",241.5,"M",57.46,"M",11.33,23.79,290150000,241500000,57460000
"243","ATV",2.57,"M",2.58,"M",1389,NA,195.53,0.05,2570000,2580000,1389
"244","AU",416.89,"M",416.88,"M",2.13,"M",16.79,0.51,416890000,416880000,2130000
"245","AUY",964.26,"M",959.88,"M",9.56,"M",72.71,1,964260000,959880000,9560000
